title,arxiv_id_or_url,date,org,scenario,level,frozen_fm,outer_loop_fixed,key_result,verified_date
Self-Taught Optimizer (STOP),https://arxiv.org/abs/2310.02304,2023-10,NYU et al.,coding,L1/partial L2,yes,yes,Improves improver scaffold; authors deny full RSI,2026-09-24
Self-Improving Coding Agent (SICA),https://arxiv.org/abs/2504.15228,2025-04,Bristol/iGent,coding,L1,yes,yes,SWE-Verified random subset ~17%->53%; ~$7k,2026-09-24
Darwin Gödel Machine (DGM),https://arxiv.org/abs/2505.22954,2025-05,Sakana et al.,coding,L1/partial L2,yes,partial,SWE ~20%->50%; Polyglot 14.2%->30.7%; reward hacking reported,2026-09-24
Huxley-Gödel Machine (HGM),https://arxiv.org/abs/2510.21614,2025-10,multi,coding,L1/partial L2,yes,partial,SWE-Verified-60 56.7%; CMP selection; ~2.38x fewer CPU hours vs DGM (authors),2026-09-24
Live-SWE-agent,https://arxiv.org/abs/2511.13646,2025-11,UIUC et al.,coding,L1,yes,yes,Gemini 3 Pro Verified 77.4%; Verified-60 GPT-5-Mini 65% vs DGM/HGM; 0 offline cost,2026-09-24
SEW: Self-Evolving Agentic Workflows,https://arxiv.org/abs/2505.18646,2025-05,Aberdeen/Glasgow/Cambridge/MBZUAI,coding,L0,yes,yes,Up to ~12% LiveCodeBench vs backbone (authors),2026-09-24
SWE-Gym,https://arxiv.org/abs/2412.21139,2024-12,Berkeley/UIUC/CMU/Apple,coding,L3-train,no,yes,Open-weight Verified 32.0% Lite 26.0% with verifier scaling (authors),2026-09-24
The AI Scientist,https://arxiv.org/abs/2408.06292,2024-08,Sakana et al.,science,L0-L1,yes,yes,~$15/paper pipeline (authors),2026-09-24
The AI Scientist-v2,https://arxiv.org/abs/2504.08066,2025-04,Sakana et al.,science,L0-L1,yes,yes,1 of 3 ICLR workshop papers above human acceptance then withdrawn,2026-09-24
AlphaEvolve,https://arxiv.org/abs/2506.13131,2025-05,Google DeepMind,science,L0,yes,yes,Matrix kernels +23%; Gemini train ~-1%; Borg ~0.7%; 4x4 complex matmul 48 mult,2026-09-24
RE-Bench,https://arxiv.org/abs/2411.15114,2024-11,METR,eval,eval,n/a,n/a,Agents beat humans @~2h; humans catch up @8h / better @32h,2026-09-24
MLE-bench,https://arxiv.org/abs/2410.07095,2024-10,OpenAI,eval,eval,n/a,n/a,o1-preview+AIDE >=bronze in 16.9% of 75 Kaggle,2026-09-24
PaperBench,https://arxiv.org/abs/2504.01848,2025-04,OpenAI,eval,eval,n/a,n/a,Claude 3.5 Sonnet 21.0% avg; PhDs 41.4% on 3-paper subset,2026-09-24
FunSearch,https://www.nature.com/articles/s41586-023-06924-6,2023-12,DeepMind,math,L0,yes,yes,Publishable constructions e.g. cap set (Nature),2026-09-24
STP Self-play Theorem Prover,https://arxiv.org/abs/2502.00212,2025-02,unlisted on abs skim,math,L3,no,yes,LeanWorkbook ~28.5% vs expert-iter 13.2%; miniF2F 65% pass@3200,2026-09-24
